artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
britney spears,oops!...i did it again,211160,FALSE,2000,77,77.02564103,83.48348348,1,-5.444,0,7.586805556,33.59462486,1.77E-05,41.61781946,91.88078109,95.053,pop,3.519333333
blink-182,all the small things,167066,FALSE,1999,79,44.51282051,89.78978979,0,-4.918,1,8.472222222,1.153415454,0,71.74677608,70.29804728,148.726,rock,2.784433333
faith hill,breathe,250546,FALSE,1999,66,54.25641026,49.64964965,7,-9.007,1,5.034722222,19.37290034,0,29.42555686,28.57142857,136.859,pop,4.175766667
bon jovi,it's my life,224493,FALSE,2000,78,56.51282051,91.39139139,0,-4.063,0,8.090277778,2.945128779,1.35E-05,40.67995311,55.90955807,119.992,rock,3.74155
*nsync,bye bye bye,200560,FALSE,2000,65,62.97435897,92.89289289,8,-4.806,0,8.958333333,4.568868981,0.00104,9.906213365,90.33915725,172.656,pop,3.342666667
sisqo,thong song,253733,TRUE,1999,69,72.41025641,88.88888889,2,-6.959,1,11.35416667,13.32586786,9.64E-05,8.206330598,73.38129496,121.549,hip hop,4.228883333
eminem,the real slim shady,284200,TRUE,2000,86,97.33333333,66.16616617,5,-4.244,0,9.930555556,3.381858903,0,5.322391559,78.10894142,104.504,hip hop,4.736666667
robbie williams,rock dj,258560,FALSE,2000,68,72.61538462,77.27727728,7,-4.264,1,5.590277778,2.989921613,0,54.74794842,88.48920863,103.035,pop,4.309333333
destiny's child,say my name,271333,FALSE,1999,75,73.12820513,67.86786787,5,-3.525,0,17.70833333,30.57110862,0,17.46776084,75.43679342,138.009,pop,4.522216667
modjo,lady - hear me tonight,307153,FALSE,2001,77,73.84615385,80.88088088,6,-5.627,1,6.579861111,0.888017917,0.0293,7.432590856,89.31140802,126.041,Dance/Electronic,5.119216667
gigi d'agostino,l'amour toujours,238759,FALSE,2011,1,63.28205128,72.87287287,7,-7.932,1,5.069444444,3.673012318,0.0482,42.20398593,83.04213772,139.066,pop,3.979316667
eiffel 65,move your body - gabry ponte original radio edit,268863,FALSE,1999,56,76.41025641,95.8958959,7,-9.664,1,4.982638889,9.104143337,0.324,62.48534584,98.663926,129.962,pop,4.48105
bomfunk mc's,freestyler,306333,FALSE,2000,55,84.30769231,92.29229229,11,-5.798,0,17.17013889,3.258678611,0.325,29.54279015,58.37615622,163.826,pop,5.10555
sting,desert rose,285960,FALSE,1999,62,60.1025641,65.96596597,0,-7.92,0,5.277777778,1.231802912,0,12.42672919,15.10791367,111.989,rock,4.766
melanie c,never be the same again,294200,FALSE,1999,61,70.66666667,68.56856857,3,-5.153,1,8.298611111,10.31354983,0,13.95076202,40.90441932,160.067,pop,4.903333333
aaliyah,try again,284000,FALSE,2002,53,81.74358974,62.26226226,6,-5.642,0,50.34722222,9.036954087,0,9.859320047,75.12846865,93.02,hip hop,4.733333333
anastacia,i'm outta love - radio edit,245400,FALSE,1999,64,78.05128205,71.67167167,10,-5.8,0,9.722222222,44.34490482,0,9.038686987,66.70092497,119.41,pop,4.09
alice deejay,better off alone,214883,FALSE,2000,73,68.82051282,88.08808809,8,-6.149,0,9.583333333,0.20268757,0.691,33.41148886,80.36998972,136.953,pop,3.581383333
gigi d'agostino,the riddle,285426,FALSE,1999,64,75.8974359,87.68768769,6,-6.87,0,6.40625,1.937290034,0.00152,9.202813599,84.78931141,127.002,pop,4.7571
dr. dre,the next episode,161506,TRUE,1999,82,94.56410256,90.99099099,10,-2.429,0,46.875,3.146696529,0,10.03516999,31.75745118,95.295,hip hop,2.691766667
linkin park,in the end,216880,FALSE,2000,83,57.02564103,86.48648649,3,-5.87,0,10.13888889,1.072788354,0,24.5017585,41.10996917,105.143,rock,3.614666667
tom jones,sexbomb,211893,FALSE,1999,65,82.15384615,87.68768769,8,-3.94,0,7.743055556,16.12541993,1.38E-05,12.1922626,95.78622816,122.979,rock,3.53155
sonique,it feels so good,240866,FALSE,2000,62,65.02564103,67.76776777,5,-7.278,0,5.277777778,1.31019037,0.00103,14.77139508,57.34840699,135.012,pop,4.014433333
